,Original,Summary
7397,kesini mengalami kendala  pengiriman  solusinya menunggu,kesini mengalami kendala  pengiriman  solusinya menunggu
7398,semoga berkah,semoga berkah
7399,Tingkatkan,Tingkatkan
7400,Uang refund gak dikembalikan,Uang refund gak dikembalikan
7401,terimakasih ,terimakasih 
7402,top,top
7403,Pengirimannya telat mulu kadang estimasi,Pengirimannya telat mulu kadang estimasi
7404,mantap,mantap
7405,bagus tinggal layanan komplain ditingkatkan,bagus tinggal layanan komplain ditingkatkan
7406,Cok gatel,Cok gatel
7407,banget proses download liat saldo  bantuan  pembatalan diakses proses download ga kelar kelar update aplikasinya,banget proses download liat saldo  bantuan  pembatalan diakses proses download ga kelar kelar update aplikasinya
7408,Ongkir mahal  lokasi 50 ribuan  Apk oren 6 ribu  reguler  Kalah saing situ ,Kalah saing situ 
7409,uninstal byk seller produk nakalalasan utama uninstal halnya apk Kesalahan aplikatornyaupdate updateaplikasi beratmana survey yg  pelanggan uninstal instal apk iniperlu pahami bhwa jgnlah apk akan2 3 aplikasi 1 Hp sajapelanggan apk versi ringan mengganggu kinerja apk utama Hppahamilahreinstal kepikir truslemot hp apk,uninstal byk seller produk nakalalasan utama uninstal halnya apk Kesalahan aplikatornyaupdate updateaplikasi beratmana survey yg  pelanggan uninstal instal apk iniperlu pahami bhwa jgnlah apk akan2 3 aplikasi 1 Hp sajapelanggan apk versi ringan mengganggu kinerja apk utama Hppahamilahreinstal kepikir truslemot hp apk
7410,Fast response,Fast response
7411,Susah banget pas bikin akun Akun kena pelanggaran gw gk ngapa ngapain  bikin akun pas udah masukin nomor disuruh masukin nomor  pas udah dimasukin nomor udah verifikasi gk  dasar aplikasi panteq,bikin akun pas udah masukin nomor disuruh masukin nomor  pas udah dimasukin nomor udah verifikasi gk  dasar aplikasi panteq
7412,mantap,mantap
7413,bagus,bagus
7414,mantap,mantap
7415,Aplikasinya Ok tolong d pertahankan,Aplikasinya Ok tolong d pertahankan
7416,pengiriman  penjual diatur tokped karna pembeli memilih pengiriman yg diskonnya  marketplace kaya gini kalah saing karna pelayanannya yg prime service  jaman opsi marketplace yg merugikan ,jaman opsi marketplace yg merugikan 
7417,bertransaksi mudah,bertransaksi mudah
7418,mantapppp,mantapppp
7419,ga update ,ga update 
7420,6 thn pakai aja  eh tipu2nya mantap  Gampang yg toko lihat centang warna ungu seller yg aja no tipu2 ,eh tipu2nya mantap 
7421,Semoga secepatnya dirilis MODE GELAP Perangkat HP Samsung ,Semoga secepatnya dirilis MODE GELAP Perangkat HP Samsung 
7422,Good Aplication,Good Aplication
7423,mahal  Tdk promo ongkir  pakai shopee lazada promo ongkir cashback ,Tdk promo ongkir 
7424,Kurir Rekomendasi  Tokopedia enak jidat memperpanjang durasi pengiriman ,Kurir Rekomendasi  Tokopedia enak jidat memperpanjang durasi pengiriman 
7425,mantab  nyaman mudah,mantab  nyaman mudah
7426,Bagus,Bagus
7427,i love you,i love you
7428,Top,Top
7429,bagus,bagus
7430,mantap,mantap
7431,share link affiliate skrng udah gak komisi,share link affiliate skrng udah gak komisi
7432,Ok belanja cod,Ok belanja cod
7433,okeeerrrrrrrrrrr,okeeerrrrrrrrrrr
7434,good,good
7435,     ,     
7436,mantap,mantap
7437,Belanja mudah,Belanja mudah
7438,Knp sy ga instal ya,Knp sy ga instal ya
7439,Tokopedia disempurnakan bahan kritikan netizen,Tokopedia disempurnakan bahan kritikan netizen
7440,ok,ok
7441,Good ,Good 
7442,,
7443,Mencoba aplikasi barang cari aplikasi ol shop sayangnya gratis ongkirnya banding ol shop pickup menunggu jam 8 malam,Mencoba aplikasi barang cari aplikasi ol shop sayangnya gratis ongkirnya banding ol shop pickup menunggu jam 8 malam
7444,alhamdulillah pembayarannya memakai ovo linkaja,alhamdulillah pembayarannya memakai ovo linkaja
7445,mamtap,mamtap
7446,gajelas banget program affiliate nya  yg klik link puluhan kunjungan yg terpilih 2,gajelas banget program affiliate nya  yg klik link puluhan kunjungan yg terpilih 2
7447,bagus,bagus
7448,april hilang cashback  ngawur aja skrg,april hilang cashback  ngawur aja skrg
7449,ngeletakin iklan ga ngotak buruk bat ni aplikasi najissumpah gua ga beli disinj,ngeletakin iklan ga ngotak buruk bat ni aplikasi najissumpah gua ga beli disinj
7450,Daftar affiliate Tokopedia meresahkan  akun kena banned mendekati 10k  Udh gitu gak dikasi warning,akun kena banned mendekati 10k 
7451,ga gratis ongkir,ga gratis ongkir
7452,A2we ana,A2we ana
7453,Apk terburuk gabisa metode cod Indonesia kalah Ama apk sebelah huhh ,Apk terburuk gabisa metode cod Indonesia kalah Ama apk sebelah huhh 
7454,Gagal transaksi promo alasan identitas  rumah namanya belakangnya  yg beda,rumah namanya belakangnya  yg beda
7455,menginstal nya bangettolong perbaiki 3 bintang,menginstal nya bangettolong perbaiki 3 bintang
7456,apk nya ringan lengkap sayang  ongkir mahal banget,apk nya ringan lengkap sayang  ongkir mahal banget
7457,mantap,mantap
7458,terbaik,terbaik
7459,ok,ok
7460,gajelas bangett   pesenan dibatalkan  saldonya gabisa ditarik gabisa dipake masuknya saldo refund  saldi refundnya susah bet ditariknyaaa  Gaada freeong  barang ongkir mahal ongkir,Gaada freeong  barang ongkir mahal ongkir
7461,Solusi belanja yg,Solusi belanja yg
7462,puas,puas
7463,Bisanya cs g online setahun  komplen pesanan bot otomatis doang yg menanggapi,Bisanya cs g online setahun  komplen pesanan bot otomatis doang yg menanggapi
7464,Kocak  transaksi pembelian pulsa voucher diskon gagal  dana langsung masuk saldo tokped  giliran ngga pake voucher diskon langsung berhasil transaksinyaa  sengaja yaa biar dana masuk,Kocak  transaksi pembelian pulsa voucher diskon gagal  dana langsung masuk saldo tokped  giliran ngga pake voucher diskon langsung berhasil transaksinyaa  sengaja yaa biar dana masuk
7465,Mantap n cakeeep,Mantap n cakeeep
7466,Mengecewakan  Aplikasi menahan dana pembeli  promosi palsu  voucher valid  Kalo mampir voucher mending promo  kalo kehabisan baged promosi mending gulung tikar aja  kerja tipu tipu,Mengecewakan  Aplikasi menahan dana pembeli  promosi palsu  voucher valid  Kalo mampir voucher mending promo  kalo kehabisan baged promosi mending gulung tikar aja  kerja tipu tipu
7467,Mengecewakan  Aplikasi suka menahan uang pembeli  promosi palsu ,Mengecewakan  Aplikasi suka menahan uang pembeli  promosi palsu 
7468,mantap,mantap
7469,Mantap,Mantap
7470,Update versi terbaru  gambar produk  harga deskripsi aj ,Update versi terbaru  gambar produk  harga deskripsi aj 
7471,mintak bintang  udah kasih pul bintang y Tpi minak bintang trus  Karna gk kurangin aja ,Karna gk kurangin aja 
7472,ganti bintang 1 aplikasinya gak buka gak internet teruss  Error  apagituuuuuuuuu   EBGO ,ganti bintang 1 aplikasinya gak buka gak internet teruss  Error  apagituuuuuuuuu   EBGO 
7473,coba moga konsisten tks,coba moga konsisten tks
7474,good,good
7475,Gka buka toko pedia,Gka buka toko pedia
7476,Mantap,Mantap
7477,mantap,mantap
7478,mantab,mantab
7479,mudah pakenya  aman,mudah pakenya  aman
7480,voucher potongan tp gak dipake  udah beli gagal mulu bikin org isi saldo doang,voucher potongan tp gak dipake  udah beli gagal mulu bikin org isi saldo doang
7481,mantap,mantap
7482,Keren abis,Keren abis
7483,Biar bitang berbicara,Biar bitang berbicara
7484,good,good
7485,biaya tambahan  bayar make gopay aja biaya tambahan  malu maluin perusahaan bayar artis mahal  customer ditambahin biaya bikin hrga mahal ,biaya tambahan  bayar make gopay aja biaya tambahan  malu maluin perusahaan bayar artis mahal  customer ditambahin biaya bikin hrga mahal 
7486,Sayangnya update memori mepet jd gak biso pakai,Sayangnya update memori mepet jd gak biso pakai
7487,ok,ok
7488,ok,ok
7489,Customer care nya lelet banget 1x24 jam udah konyol,Customer care nya lelet banget 1x24 jam udah konyol
7490,Good,Good
7491,tampilan pembayaran beli langsung  tambahkan keranjang  tampilannya berbeda   saldo tokopedia  , saldo tokopedia  
7492,salah kerja jasa kirim ny  smoga bs next bs d ganti jasa pengirim nya,salah kerja jasa kirim ny  smoga bs next bs d ganti jasa pengirim nya
7493,Nipu    embel2 beli Rp1000 pengguna  pas udh CO dibatalin huuu,embel2 beli Rp1000 pengguna  pas udh CO dibatalin huuu
7494,telat doang gopaylater dibekukan  track record bagus  denda 5 doang 50 ribu  nyesel bayar  tau gitu gagal bayar aja,telat doang gopaylater dibekukan  track record bagus  denda 5 doang 50 ribu  nyesel bayar  tau gitu gagal bayar aja
7495,Pelayanannya gak cepet komplain pelanggan,Pelayanannya gak cepet komplain pelanggan
7496,Kasih Bintang 5  Tokopedia Terbaik Nilainya  ,Tokopedia Terbaik Nilainya  
7497,Fitur lengkap  salah satunya ga fitur catatan pesanan pengirim kurir  chat penjual MEREPOTKAN,chat penjual MEREPOTKAN
7498,Aplikasi buruk  Pengembalian dana merugikan pelanggan  aplikasi ,aplikasi 
7499,mantap,mantap
7500,ok,ok
7501,,
7502,Mina 25 pk eolia eolia on may,Mina 25 pk eolia eolia on may
7503,Tokopedia fitur toko terdekat  belanja ongkir gojek instant yg murah  Terima kasih mudah mudahan sarannya dengar  jaya tokopedia ,jaya tokopedia 
7504,Metode pembayaran via gopay dikenai admin  update gratis biaya admin  memberatkan,Metode pembayaran via gopay dikenai admin  update gratis biaya admin  memberatkan
7505,error seharian gak akses,error seharian gak akses
7506,parah kurirnya Anter aja  nginep hub  Udah Dibawa2 kurir gak  Dikasih kelonggaran Tokopedia nya nambah 3 pengiriman  Jelas2 udah sdg dianter tujuan kurir,Dikasih kelonggaran Tokopedia nya nambah 3 pengiriman 
7507,Pengirimannya,Pengirimannya
7508,Kacau Tokopedia ongkir a driver gojek samday bgt Uda it pic up a bgt,Kacau Tokopedia ongkir a driver gojek samday bgt Uda it pic up a bgt
7509,Metode pengiriman berubah tiba2  Market place ga ,Market place ga 
7510,syifa ramadhanti mba selfi khoerunissa,syifa ramadhanti mba selfi khoerunissa
7511,ok,ok
7512,GILA  BANGET  NGIRIM BARANG PEDAHAL PROVINSI AJA  BERHARI  GILA MENGECEWAKAN BANGET JASA KIRIM MITRA TOKOPEDIA  SUMPAH MENGECEWAKAN BIKIN KAPOK GUA MESEN MESEN TOKOPEDIA  MENDING BELANJA APLIKASI  DIKIRIM NYA CEPET ,GILA  BANGET  NGIRIM BARANG PEDAHAL PROVINSI AJA  BERHARI  GILA MENGECEWAKAN BANGET JASA KIRIM MITRA TOKOPEDIA  SUMPAH MENGECEWAKAN BIKIN KAPOK GUA MESEN MESEN TOKOPEDIA  MENDING BELANJA APLIKASI  DIKIRIM NYA CEPET 
7513,Ngak daftar,Ngak daftar
7514,,
7515,mantap,mantap
7516,Tokopedia parah banget biaya layanan seller mahal    seller gk dpt untung rugi,Tokopedia parah banget biaya layanan seller mahal    seller gk dpt untung rugi
7517,Toko pedia mesin pencariannya gak akurat  dapatnya,Toko pedia mesin pencariannya gak akurat  dapatnya
7518,puas,puas
7519,Bagus apknya suka,Bagus apknya suka
7520,psylater nggk bs  buka ulasan komplinan nggk bs  paket data sdh ganti dr simpati xl 70gb teap nggak bs eror,psylater nggk bs  buka ulasan komplinan nggk bs  paket data sdh ganti dr simpati xl 70gb teap nggak bs eror
7521,mantap  bonus nya banget,mantap  bonus nya banget
7522,Bagus  gratis ongkir pengguna,gratis ongkir pengguna
7523,Pengiriman ga jelasss  check out  estimasi barang tgl 56 april  tgl 7 april  sistem kasih update estimasi geser tgl 912  Maksudnya    kemarin barang pesanan kemana aja  ,Maksudnya   
7524,Belanja Mudah Barang Original Cepat,Belanja Mudah Barang Original Cepat
7525,gak Casback ,gak Casback 
7526,,
7527,,
7528,,
7529,Gak promo  gitu spam notifikasi promo Pas check out promo gratis ongkir  Cashback aja 13   itupun minimal 500rb gini ya lari shopee lazada,Gak promo  gitu spam notifikasi promo Pas check out promo gratis ongkir  Cashback aja 13   itupun minimal 500rb gini ya lari shopee lazada
7530,terdaftar kredit bri ceria  cicilan bri ceria aman  aja nyicil bri ceria gk kendala  daftar gopaylatercicil tolak   memiliki catatan kredit sesuai  gk tunggakan  hadeh  nunggu 24jam  chuaks,terdaftar kredit bri ceria  cicilan bri ceria aman  aja nyicil bri ceria gk kendala  daftar gopaylatercicil tolak   memiliki catatan kredit sesuai  gk tunggakan  hadeh  nunggu 24jam  chuaks
7531,toko pedia emg membantu pedagang thank toped,toko pedia emg membantu pedagang thank toped
7532,hemat ongkir   makasiih toped ,hemat ongkir   makasiih toped 
7533,Fitur tuker hp nya bacanya tunggu bentar et 1 jam 30 mnit blom kelar,Fitur tuker hp nya bacanya tunggu bentar et 1 jam 30 mnit blom kelar
7534,Apk yg buatnya setengah² kalo kendala terkait apk nya  ya CS nya nyelesain setengah²  Pesan Dev  mengembalikan ,Pesan Dev  mengembalikan 
7535,bagus,bagus
7536,bermanfaat ,bermanfaat 
7537,simpel,simpel
7538,pilihan  manfaatkan promonya yg,pilihan  manfaatkan promonya yg
7539,Tolong Tokopedia saldo tahan,Tolong Tokopedia saldo tahan
7540,menyulitkan,menyulitkan
7541,berkualitas dlm bertransaksi,berkualitas dlm bertransaksi
7542,Aplikasi  uda order tokped vanillaraya ya  uda payment jam 8 dibatalkan jam 1020 Diperbaiki sistemnya  main cancel aja,uda order tokped vanillaraya ya  uda payment jam 8 dibatalkan jam 1020 Diperbaiki sistemnya  main cancel aja
7543,Persetujuan Komplain penjual estimasi 4 haha  ngaco ga bener diretur penjual klik terima pesanan  1 minggu  ga bener,Persetujuan Komplain penjual estimasi 4 haha  ngaco ga bener diretur penjual klik terima pesanan  1 minggu  ga bener
7544,bagus banget mohon maaf besok kedepannya update ya,bagus banget mohon maaf besok kedepannya update ya
7545,bagus,bagus
7546,kemaren nyari apk ol shop enak doang kali dapet,kemaren nyari apk ol shop enak doang kali dapet
7547,mantul,mantul
7548,good  ,good  
7549,VFf BBf FC cvAz CTAAWznag CV yg GG xx DDR by  z   FCh,VFf BBf FC cvAz CTAAWznag CV yg GG xx DDR by  z   FCh
7550,mudah,mudah
7551,oke,oke
7552,Kasih bintang karna ongkirnya gede  minimal belanja 20k tuh ongkirnya 0 kadang 2k kadang 55k  udah potong ongkirnya ttp gede 25k an  Ayo kayak Tokopedia,Ayo kayak Tokopedia
7553,membantu kaum rebahan dimanapun,membantu kaum rebahan dimanapun
7554,fitur  swperti nilai  melhiat vocher   arahkan mendownload ulang  lakukan,arahkan mendownload ulang  lakukan
7555,mantab,mantab
7556,ribet mudah,ribet mudah
7557,d update g pakai  muter² mulu  instal ulang g  update coba aktifkan paylater  muter² mulu  App g jalan lolipop,App g jalan lolipop
7558,Tokopedia tolong cari kerjasama kurir  Barang kirimnya 6 Posisi kurir sistem area  langsung kirim kurirnya  butuh barangnya ,langsung kirim kurirnya  butuh barangnya 
7559,,
7560,tokopedia keren  mantap  membantu   ,
7561,Matap,Matap
7562,Aplikasi toko pedia menguntungkan,Aplikasi toko pedia menguntungkan
7563,kualitas terjamin bermutu  pilihan pembayaran lengkap,pilihan pembayaran lengkap
7564,Nggatau ya   gratis ongkirnya cuman kepotong 20rb   belanja tuh sampe 40k   ya kak    Jdi mengurangi belanja tokped   ku blm update tpi update   tetep ngga kepotong smpe 0 ongkirnya   semoga perbaiki tokpednya   makasih   semoga membantu  ,Nggatau ya   gratis ongkirnya cuman kepotong 20rb   belanja tuh sampe 40k   ya kak    Jdi mengurangi belanja tokped   ku blm update tpi update   tetep ngga kepotong smpe 0 ongkirnya   semoga perbaiki tokpednya   makasih   semoga membantu  
7565,gabung gojek promo gold basic,gabung gojek promo gold basic
7566,Mecoba dlu,Mecoba dlu
7567,lumayan,lumayan
7568,Kurir rekomendasi JNE tdk memuaskan bgt sampainya,Kurir rekomendasi JNE tdk memuaskan bgt sampainya
7569,jooosssss,jooosssss
7570,Tolong perbaikievaluasi jasa kirimnya  belanja tokped melebihi estimasi ,Tolong perbaikievaluasi jasa kirimnya  belanja tokped melebihi estimasi 
7571,Good,Good
7572,3 ditambah,3 ditambah
7573,Nice,Nice
7574,toko pedia mantap ,toko pedia mantap 
7575,belanja tokopedia memuaskan,belanja tokopedia memuaskan
7576,Bintang,Bintang
7577,Ok,Ok
7578,udah Cekout diatas 50 kena ongkir tulisannya belanja minimal 50k bebas ongkir  jarang banget Cekout karna kek gini  saran aja emang ongkirnya kena potong gak tulisan minaml belanja hadeuh,jarang banget Cekout karna kek gini  saran aja emang ongkirnya kena potong gak tulisan minaml belanja hadeuh
7579,pajak penjualan murah toko online   mahal poll ,pajak penjualan murah toko online   mahal poll 
7580,bagus transaksi aman  tolong keefektifan UI ditingkatkan ngatur tgl lahir pencet2 ngga nulis normal  efektif,bagus transaksi aman  tolong keefektifan UI ditingkatkan ngatur tgl lahir pencet2 ngga nulis normal  efektif
7581,Admin Tokopedia membela penjual  niatan menipu pembeli  rugikan pembeli  Kecewa adminnya menengahi  ,Kecewa adminnya menengahi 
7582,terpercaya,terpercaya
7583,Hese masukna rewel tokopedia brengsex,Hese masukna rewel tokopedia brengsex
7584,kasih 1 bintang aja karna plyanan cod nya pake sicepat halu  emang bener2 halu jasa yg pake nya  gk,kasih 1 bintang aja karna plyanan cod nya pake sicepat halu  emang bener2 halu jasa yg pake nya  gk
7585, memudahkan berbelanja ,memudahkan berbelanja 
7586,Mantul bro,Mantul bro
7587,bagus,bagus
7588,berbelanja minimalis,berbelanja minimalis
7589,bagus,bagus
7590,bagus,bagus
7591,Memuaskan belanja tokopedia  nya ongkirnya mahal contonya harga barang 50 ribu ongkirnya 100ribu  rugi ya pembeli  masukan saran mohon maaf terima kasih  ,Memuaskan belanja tokopedia  nya ongkirnya mahal contonya harga barang 50 ribu ongkirnya 100ribu  rugi ya pembeli  masukan saran mohon maaf terima kasih  
7592,kredit barang  untung,kredit barang  untung
7593,Sdh update tdk bs d instal  saldonya  gmn min,Sdh update tdk bs d instal  saldonya  gmn min
7594,Good,Good
7595,ntap,ntap
7596,kredivo membantu,kredivo membantu
7597,Pesanan dadakan batalin tp uang blm balikin  App nya susah komplen  ig jg jaman gak respon  Sesebel2nya shopee respon chat customer  via apapun ,ig jg jaman gak respon 
7598,mantap,mantap
7599,Yth Tokopedia  akun penjual ngirim barang  2 eh  gak dikirim  tibatiba dibatalkan penjual bikin kecewa  penjual ready  ditransfer eh 2 bilang zonk  chat direspon penjual  Tolong bikin pembeli kecewa penjual  admin Tokopedia,chat direspon penjual 
